timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-11 14:21:58, 145, 35, 35, 25, 136, 145, 43, 26.18
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-11 15:22:00, 145, 35, 35, 25, 136, 145, 43, 26.18
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-11 16:22:03, 145, 35, 47, 25, 120, 145, 43, 18.72
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-11 17:22:05, 145, 35, 62, 25, 120, 145, 43, 15.05
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-11 18:22:07, 145, 35, 62, 25, 120, 145, 43, 15.05
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-11 19:22:10, 145, 35, 62, 25, 120, 145, 43, 15.05
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-11 20:22:12, 145, 35, 62, 25, 120, 145, 43, 15.05
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-11 21:22:15, 145, 35, 70, 25, 120, 145, 43, 13.09
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-11 22:22:17, 145, 35, 70, 25, 120, 145, 43, 13.09
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-11 23:22:19, 145, 35, 81, 25, 120, 145, 43, 11.19
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-12 00:22:22, 145, 35, 81, 25, 120, 145, 43, 11.19
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-12 01:22:24, 145, 35, 81, 25, 120, 145, 43, 11.19
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-12 02:22:27, 145, 35, 81, 25, 120, 145, 43, 11.19
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-12 03:22:29, 145, 35, 49, 25, 120, 145, 43, 19.18
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-12 04:22:32, 146, 16, 49, 26, 31, 146, 46, 19.18
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-12 05:22:34, 146, 17, 49, 27, 46, 146, 46, 19.18
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-12 06:22:37, 146, 17, 41, 27, 46, 146, 46, 26.98
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-12 07:22:39, 146, 18, 41, 27, 61, 146, 46, 26.98
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-12 08:22:42, 146, 18, 41, 27, 61, 146, 46, 26.98
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-12 09:22:44, 143, 19, 36, 26, 89, 143, 46, 28.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-12 10:22:46, 143, 19, 36, 26, 89, 143, 46, 28.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-12 11:22:49, 139, 19, 36, 26, 122, 139, 43, 28.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-12 12:22:52, 139, 19, 36, 26, 122, 139, 43, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-12 13:22:54, 139, 19, 36, 26, 122, 139, 43, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-12 14:22:57, 138, 14, 65, 25, 138, 134, 42, 17.13
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-12 15:22:59, 138, 14, 65, 25, 138, 134, 42, 17.13
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-12 16:23:01, 134, 13, 65, 26, 120, 134, 41, 17.13
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-12 17:23:04, 135, 12, 65, 25, 102, 135, 41, 17.13
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-12 18:23:06, 135, 12, 71, 25, 102, 135, 41, 14.29
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-12 19:23:08, 135, 12, 71, 25, 102, 135, 41, 14.29
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-12 20:23:11, 135, 12, 79, 25, 102, 135, 41, 12.1
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-12 21:23:13, 135, 12, 79, 25, 102, 135, 41, 12.1
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-12 22:23:16, 135, 12, 79, 25, 102, 135, 41, 12.1
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-12 23:23:18, 135, 12, 79, 25, 102, 135, 41, 12.1
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-13 00:23:21, 135, 12, 80, 25, 102, 135, 41, 10.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-13 01:23:23, 135, 12, 80, 25, 102, 135, 41, 10.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-13 02:23:26, 135, 12, 59, 25, 102, 135, 41, 18.15
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-13 03:23:28, 135, 12, 59, 25, 102, 135, 41, 18.15
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-13 04:23:30, 135, 12, 59, 25, 102, 135, 41, 18.15
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-13 05:23:33, 122, 9, 59, 23, 28, 122, 34, 18.15
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-13 06:23:35, 121, 10, 42, 23, 38, 121, 33, 26.73
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-13 07:23:38, 119, 12, 42, 23, 72, 119, 33, 26.73
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-13 08:23:40, 119, 12, 34, 23, 72, 119, 33, 28.54
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-13 09:23:43, 119, 12, 37.5, 23, 72, 119, 33, 28.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-13 10:23:46, 121, 14, 41, 23, 106, 121, 33, 28.44
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-11-13 11:23:48, 121, 14, 41, 23, 106, 121, 33, 28.44
