timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 14:52:45, 87, 42, 100, 64, 24, 87, 83, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 14:53:01, 87, 42, 100, 64, 24, 87, 83, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 15:53:03, 87, 42, 100, 64, 24, 87, 83, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 16:53:06, 87, 42, 100, 64, 24, 87, 83, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 17:53:08, 87, 42, 100, 64, 24, 87, 83, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 18:53:11, 87, 42, 100, 64, 24, 87, 83, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 19:53:13, 87, 42, 100, 64, 24, 87, 83, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 20:53:15, 87, 42, 100, 64, 24, 87, 83, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 21:53:17, 87, 42, 98, 64, 24, 87, 83, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 22:53:20, 87, 42, 98, 64, 24, 87, 83, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 23:53:22, 87, 42, 98, 64, 24, 87, 83, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 00:53:24, 87, 42, 98, 64, 24, 87, 83, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 01:53:27, 87, 42, 97, 64, 24, 87, 83, 19.18
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 02:53:29, 87, 42, 100, 64, 24, 87, 83, 23.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 03:53:32, 87, 42, 100, 64, 24, 87, 83, 23.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 04:53:34, 87, 42, 100, 64, 24, 87, 83, 23.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 05:53:36, 87, 42, 87, 77, 13, 87, 83, 28.86
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 06:53:39, 87, 42, 87, 77, 13, 87, 83, 28.86
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 07:53:41, 87, 42, 87, 76, 13, 87, 83, 28.86
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 08:53:44, 87, 42, 100, 76, 13, 87, 83, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 09:53:46, 13, 42, 100, 75, 13, 87, 83, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 10:53:48, 13, 42, 100, 75, 13, 87, 83, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 11:53:51, 13, 42, 100, 75, 13, 87, 83, 23.48
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 12:53:53, 13, 42, 100, 75, 13, 87, 83, 23.48
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 13:53:56, 13, 42, 100, 75, 13, 87, 83, 23.48
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 14:53:58, -, 42, 95, 75, 20, 87, 83, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 15:54:01, 77, 42, 95, 75, 19, 77, 74, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 16:54:03, 77, 42, 95, 75, 17, 77, 75, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 17:54:06, 78, 42, 94, 75, 17, 78, 75, 20.68
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 18:54:08, 78, 42, 94, 75, 17, 78, 75, 20.68
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 19:54:11, 79, 42, 97, 69, 15, 79, 76, 20.46
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 20:54:14, 81, 42, 97, 70, 15, 81, 78, 20.46
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 21:54:16, 81, 42, 97, 70, 15, 81, 78, 20.46
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 22:54:19, 81, 42, 97, 70, 15, 81, 78, 20.46
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 23:54:21, 81, 42, 99, 70, 15, 81, 78, 20.49
