timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 14:52:47, 72, 18, 100, 27, 56, 72, 58, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 14:53:03, 72, 18, 100, 27, 56, 72, 58, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 15:53:05, 72, 18, 100, 27, 56, 72, 58, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 16:53:07, 72, 18, 100, 27, 56, 72, 58, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 17:53:09, 72, 18, 100, 27, 56, 72, 58, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 18:53:12, 72, 18, 100, 27, 56, 72, 58, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 19:53:14, 72, 18, 100, 27, 56, 72, 58, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 20:53:16, 72, 18, 100, 27, 56, 72, 58, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 21:53:19, 72, 18, 98, 27, 56, 72, 58, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 22:53:21, 72, 18, 98, 27, 56, 72, 58, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 23:53:23, 72, 18, 98, 27, 56, 72, 58, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 00:53:26, 72, 18, 98, 27, 56, 72, 58, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 01:53:28, 72, 18, 97, 27, 56, 72, 58, 19.18
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 02:53:31, 72, 18, 100, 27, 56, 72, 58, 23.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 03:53:33, 72, 18, 100, 27, 56, 72, 58, 23.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 04:53:35, 72, 18, 100, 27, 56, 72, 58, 23.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 05:53:38, 72, 15, 87, 29, 23, 72, 58, 28.86
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 06:53:40, 72, 15, 87, 29, 30, 72, 58, 28.86
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 07:53:42, 72, 16, 100, 30, 34, 72, 58, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 08:53:45, 72, 16, 100, 30, 34, 72, 58, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 09:53:47, 50, 17, 100, 29, 50, 72, 58, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 10:53:50, 50, 17, 100, 29, 50, 72, 58, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 11:53:52, 64, 15, 100, 29, 64, 72, 58, 23.48
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 12:53:55, 64, 15, 100, 29, 64, 72, 58, 23.48
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 13:53:57, 245, 14, 95, 29, 64, 145, 245, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 14:54:00, 234, 14, 95, 29, 61, 142, 234, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 15:54:02, 234, 14, 95, 29, 61, 142, 234, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 16:54:05, 149, 12, 95, 29, 50, 127, 149, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 17:54:07, 116, 12, 94, 29, 44, 116, 114, 20.68
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 18:54:09, 116, 12, 94, 29, 44, 116, 114, 20.68
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 19:54:13, 101, 12, 97, 29, 34, 101, 78, 20.46
