timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 14:52:46, 105, 105, 100, 19, 73, 58, 55, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 14:53:02, 105, 105, 100, 19, 73, 58, 55, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 15:53:04, 105, 105, 100, 19, 73, 58, 55, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 16:53:07, 105, 105, 100, 19, 73, 58, 55, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 17:53:09, 105, 105, 100, 19, 73, 58, 55, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 18:53:11, 105, 105, 100, 19, 73, 58, 55, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 19:53:14, 105, 105, 100, 19, 73, 58, 55, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 20:53:16, 105, 105, 100, 19, 73, 58, 55, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 21:53:18, 105, 105, 98, 19, 73, 58, 55, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 22:53:20, 105, 105, 98, 19, 73, 58, 55, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 23:53:23, 105, 105, 98, 19, 73, 58, 55, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 00:53:25, 105, 105, 98, 19, 73, 58, 55, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 01:53:28, 105, 105, 97, 19, 73, 58, 55, 19.18
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 02:53:30, 105, 105, 100, 19, 73, 58, 55, 23.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 03:53:32, 105, 105, 100, 19, 73, 58, 55, 23.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 04:53:35, 105, 105, 100, 19, 73, 58, 55, 23.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 05:53:37, 73, 73, 87, 19, 19, 58, 55, 28.86
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 06:53:40, 74, 74, 87, 19, 20, 58, 55, 28.86
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 07:53:42, 65, 65, 100, 19, 19, 58, 55, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 08:53:44, 64, 64, 100, 19, 20, 58, 55, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 09:53:47, 67, 67, 100, 19, 23, 58, 55, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 10:53:49, 67, 67, 100, 19, 23, 58, 55, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 11:53:52, 58, 58, 100, 19, 26, 58, 55, 23.48
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 12:53:54, 51, 51, 100, 19, 20, 58, 55, 23.48
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 13:53:56, 76, 76, 95, 19, 19, 58, 55, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 14:53:59, 76, 76, 95, 19, 19, 58, 55, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 15:54:01, 78, 78, 95, 19, 19, 58, 55, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 16:54:04, 81, 81, 95, 19, 16, 58, 55, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 17:54:07, 84, 84, 94, 19, 18, 58, 55, 20.68
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 18:54:09, 84, 84, 94, 19, 19, 58, 55, 20.68
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 19:54:12, 78, 78, 97, 19, 22, 58, 55, 20.46
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 20:54:15, 78, 78, 97, 19, 22, 58, 55, 20.46
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 21:54:17, 78, 78, 97, 19, 22, 58, 55, 20.46
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 22:54:19, 78, 78, 97, 19, 22, 58, 55, 20.46
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 23:54:22, 78, 78, 99, 19, 22, 58, 55, 20.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 00:54:24, 65, 65, 99, 18, 24, 58, 55, 20.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 01:54:27, 70, 70, 94, 18, 23, 58, 55, 24.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
