timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 14:52:46, 76, 30, 100, 63, 57, 76, 69, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 14:53:02, 76, 30, 100, 63, 57, 76, 69, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 15:53:05, 76, 30, 100, 63, 57, 76, 69, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 16:53:07, 76, 30, 100, 63, 57, 76, 69, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 17:53:09, 76, 30, 100, 63, 57, 76, 69, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 18:53:11, 76, 30, 100, 63, 57, 76, 69, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 19:53:14, 76, 30, 100, 63, 57, 76, 69, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 20:53:16, 76, 30, 100, 63, 57, 76, 69, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 21:53:18, 76, 30, 98, 63, 57, 76, 69, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 22:53:21, 76, 30, 98, 63, 57, 76, 69, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 23:53:23, 76, 30, 98, 63, 57, 76, 69, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 00:53:26, 76, 30, 98, 63, 57, 76, 69, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 01:53:28, 76, 30, 97, 63, 57, 76, 69, 19.18
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 02:53:30, 76, 30, 100, 63, 57, 76, 69, 23.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 03:53:33, 76, 30, 100, 63, 57, 76, 69, 23.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 04:53:35, 76, 30, 100, 63, 57, 76, 69, 23.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 05:53:37, 65, 31, 87, 64, 18, 65, 60, 28.86
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 06:53:40, 64, 31, 87, 64, 21, 64, 58, 28.86
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 07:53:42, 63, 31, 100, 63, 25, 63, 58, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 08:53:44, 62, 31, 100, 62, 28, 62, 57, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 09:53:47, 62, 31, 100, 61, 38, 62, 56, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 10:53:49, 62, 31, 100, 61, 38, 62, 56, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 11:53:52, 62, 31, 100, 59, 46, 62, 56, 23.48
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 12:53:54, 62, 31, 100, 59, 47, 62, 56, 23.48
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 13:53:57, 62, 31, 95, 58, 47, 62, 56, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 14:53:59, 62, 31, 95, 58, 44, 62, 56, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 15:54:02, 62, 31, 95, 58, 44, 62, 56, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 16:54:04, 62, 31, 95, 60, 37, 62, 56, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 17:54:07, 63, 31, 94, 60, 27, 63, 57, 20.68
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 18:54:09, 65, 31, 94, 60, 20, 65, 59, 20.68
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 19:54:12, 67, 31, 97, 61, 25, 67, 61, 20.46
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 20:54:15, 67, 31, 97, 61, 25, 67, 61, 20.46
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 21:54:17, 67, 31, 97, 61, 25, 67, 61, 20.46
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 22:54:20, 67, 31, 97, 61, 25, 67, 61, 20.46
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 23:54:22, 67, 31, 99, 61, 25, 67, 61, 20.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 00:54:24, 69, 31, 99, 58, 36, 69, 63, 20.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 01:54:27, 69, 31, 94, 57, 36, 69, 63, 24.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 02:54:30, 69, 31, 94, 57, 38, 69, 63, 24.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 03:54:32, 69, 31, 94, 57, 38, 69, 63, 24.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 04:54:34, 69, 31, 94, 58, 26, 69, 63, 24.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 05:54:37, 68, 31, 75, 57, 24, 68, 62, 30.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 06:54:40, 68, 31, 75, 56, 27, 68, 62, 30.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 07:54:43, 68, 31, 82, 58, 30, 68, 62, 30.02
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 08:54:45, 68, 31, 82, 58, 30, 68, 62, 30.02
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 09:54:47, 67, 31, 73, 59, 37, 67, 61, 29.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 10:54:51, 67, 31, 73, 59, 37, 67, 61, 29.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 11:54:53, 67, 31, 98, 59, 37, 67, 61, 24.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 12:54:56, 67, 31, 98, 59, 37, 67, 61, 24.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 13:54:58, 67, 31, 98, 59, 37, 67, 61, 24.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 14:55:01, 67, 31, 94, 59, 37, 67, 61, 22.14
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 15:55:03, 67, 31, 94, 59, 37, 67, 61, 22.14
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 16:55:06, 67, 31, 94, 59, 37, 67, 61, 21.49
