timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 14:52:47, 41, 41, 100, 35, 23, 30, 28, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 14:53:03, 41, 41, 100, 35, 23, 30, 28, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 15:53:05, 41, 41, 100, 35, 23, 30, 28, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 16:53:07, 41, 41, 100, 35, 23, 30, 28, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 17:53:10, 41, 41, 100, 35, 23, 30, 28, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 18:53:12, 41, 41, 100, 35, 23, 30, 28, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 19:53:14, 41, 41, 100, 35, 23, 30, 28, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 20:53:17, 41, 41, 100, 35, 23, 30, 28, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 21:53:19, 41, 41, 98, 35, 23, 30, 28, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 22:53:21, 41, 41, 98, 35, 23, 30, 28, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 23:53:24, 41, 41, 98, 35, 23, 30, 28, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 00:53:26, 41, 41, 98, 35, 23, 30, 28, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 01:53:28, 41, 41, 98, 35, 23, 30, 28, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 02:53:31, 30, 41, 100, 35, 23, 30, 28, 23.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 03:53:33, 30, 41, 100, 35, 23, 30, 28, 23.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 04:53:35, 42, 42, 100, 34, 23, 30, 28, 23.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 05:53:38, 42, 42, 87, 34, 24, 34, 31, 28.86
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 06:53:40, 42, 42, 87, 34, 24, 35, 31, 28.86
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 07:53:43, 43, 43, 100, 34, 24, 35, 32, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 08:53:45, 43, 43, 100, 34, 24, 35, 32, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 09:53:48, 43, 43, 100, 34, 24, 34, 31, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 10:53:50, 43, 43, 100, 34, 24, 34, 31, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 11:53:52, 43, 43, 100, 34, 24, 35, 31, 23.48
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 12:53:55, 43, 43, 100, 34, 24, 35, 32, 23.48
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 13:53:57, 43, 43, 95, 34, 24, 36, 32, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 14:54:00, 43, 43, 95, 34, 24, 36, 33, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 15:54:02, 43, 43, 95, 34, 24, 36, 33, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 16:54:05, 43, 43, 95, 34, 24, 37, 33, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 17:54:07, 43, 43, 94, 34, 24, 37, 33, 20.68
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 18:54:10, 43, 43, 94, 34, 24, 37, 33, 20.68
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 19:54:13, 43, 43, 97, 34, 24, 37, 33, 20.46
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 20:54:15, 43, 43, 97, 34, 24, 37, 33, 20.46
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 21:54:18, 43, 43, 97, 34, 24, 37, 33, 20.46
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 22:54:20, 43, 43, 97, 34, 24, 37, 33, 20.46
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 23:54:23, 43, 43, 99, 34, 24, 37, 33, 20.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 00:54:25, 44, 44, 99, 34, 24, 38, 34, 20.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 01:54:28, 44, 44, 94, 34, 24, 38, 35, 24.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 02:54:30, 44, 44, 94, 34, 24, 38, 34, 24.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 03:54:32, 44, 44, 94, 34, 24, 38, 34, 24.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 04:54:35, 44, 44, 94, 34, 24, 41, 37, 24.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 05:54:37, 48, 44, 75, 34, 24, 48, 42, 30.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
