timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 14:52:47, 55, 52, 100, 9, 48, 55, 52, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 14:53:03, 55, 52, 100, 9, 48, 55, 52, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 15:53:05, 55, 52, 100, 9, 48, 55, 52, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 16:53:08, 55, 52, 100, 9, 48, 55, 52, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 17:53:10, 55, 52, 100, 9, 48, 55, 52, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 18:53:12, 55, 52, 100, 9, 48, 55, 52, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 19:53:15, 55, 52, 100, 9, 48, 55, 52, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 20:53:17, 55, 52, 100, 9, 48, 55, 52, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 21:53:19, 55, 52, 98, 9, 48, 55, 52, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 22:53:21, 55, 52, 98, 9, 48, 55, 52, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 23:53:24, 55, 52, 98, 9, 48, 55, 52, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 00:53:26, 55, 52, 98, 9, 48, 55, 52, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 01:53:29, 55, 52, 97, 9, 48, 55, 52, 19.18
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 02:53:31, 55, 52, 100, 9, 48, 55, 52, 23.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 03:53:33, 55, 52, 100, 9, 48, 55, 52, 23.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 04:53:36, 55, 52, 100, 9, 48, 55, 52, 23.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 05:53:38, 53, 51, 87, 12, 39, 53, 50, 28.86
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 06:53:41, 52, 51, 87, 12, 41, 52, 49, 28.86
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
