timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 14:52:47, 74, 47, 100, 14, 74, 59, 51, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 14:53:03, 74, 47, 100, 14, 74, 59, 51, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 15:53:06, 74, 47, 100, 14, 74, 59, 51, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 16:53:08, 74, 47, 100, 14, 74, 59, 51, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 17:53:10, 74, 47, 100, 14, 74, 59, 51, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 18:53:12, 74, 47, 100, 14, 74, 59, 51, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 19:53:15, 74, 47, 100, 14, 74, 59, 51, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 20:53:17, 74, 47, 100, 14, 74, 59, 51, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 21:53:19, 74, 47, 98, 14, 74, 59, 51, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 22:53:22, 74, 47, 98, 14, 74, 59, 51, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 23:53:24, 74, 47, 98, 14, 74, 59, 51, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 00:53:27, 74, 47, 98, 14, 74, 59, 51, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 01:53:29, 74, 47, 97, 14, 74, 59, 51, 19.18
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 02:53:31, 74, 47, 100, 14, 74, 59, 51, 23.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 03:53:34, 74, 47, 100, 14, 74, 59, 51, 23.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 04:53:36, 74, 47, 100, 14, 74, 59, 51, 23.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 05:53:38, 49, 49, 87, 14, 31, 46, 40, 28.86
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 06:53:41, 49, 49, 87, 14, 38, 45, 39, 28.86
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 07:53:43, 50, 50, 100, 14, 46, 44, 39, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 08:53:45, 54, 51, 100, 14, 54, 44, 38, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 09:53:48, 62, 51, 100, 14, 62, 44, 38, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 10:53:50, 62, 51, 100, 14, 62, 44, 38, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 11:53:53, 74, 52, 100, 14, 74, 42, 37, 23.48
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 12:53:55, 74, 52, 100, 14, 74, 42, 37, 23.48
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 13:53:58, 73, 52, 95, 14, 73, 43, 37, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 14:54:00, 70, 52, 95, 14, 70, 43, 38, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 15:54:03, 70, 52, 95, 14, 70, 43, 38, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 16:54:05, 60, 53, 95, 14, 60, 44, 38, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 17:54:08, 56, 54, 94, 14, 56, 44, 38, 20.68
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 18:54:10, 54, 54, 94, 14, 51, 44, 38, 20.68
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 19:54:13, 54, 54, 94, 14, 51, 44, 38, 20.68
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 20:54:16, 54, 54, 97, 14, 44, 45, 39, 20.46
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 21:54:18, 54, 54, 97, 14, 44, 45, 39, 20.46
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 22:54:21, 54, 54, 97, 14, 44, 45, 39, 20.46
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 23:54:23, 54, 54, 99, 14, 44, 45, 39, 20.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 00:54:26, 52, 52, 99, 14, 21, 46, 40, 20.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 01:54:28, 52, 52, 94, 14, 17, 46, 40, 24.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 02:54:31, 62, 62, 94, 14, 15, 46, 40, 24.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 03:54:33, 62, 62, 94, 14, 15, 46, 40, 24.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 04:54:35, 1755, 1755, 94, 14, 15, 47, 41, 24.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 05:54:38, 2234, 2234, 75, 14, 19, 46, 40, 30.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-01 06:54:41, 2285, 2285, 75, 14, 28, 45, 39, 30.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
