timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 14:52:46, 67, 67, 100, 19, 37, 44, 50, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 14:53:02, 67, 67, 100, 19, 37, 44, 50, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 15:53:04, 67, 67, 100, 19, 37, 44, 50, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 16:53:06, 67, 67, 100, 19, 37, 44, 50, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 17:53:08, 67, 67, 100, 19, 37, 44, 50, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 18:53:11, 67, 67, 100, 19, 37, 44, 50, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 19:53:13, 67, 67, 100, 19, 37, 44, 50, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 20:53:15, 67, 67, 100, 19, 37, 44, 50, 22.33
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 21:53:18, 67, 67, 98, 19, 37, 44, 50, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 22:53:20, 67, 67, 98, 19, 37, 44, 50, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-29 23:53:22, 67, 67, 98, 19, 37, 44, 50, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 00:53:25, 67, 67, 98, 19, 37, 44, 50, 19.74
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 01:53:27, 67, 67, 97, 19, 37, 44, 50, 19.18
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 02:53:30, 67, 67, 100, 19, 37, 44, 50, 23.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 03:53:32, 67, 67, 100, 19, 37, 44, 50, 23.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 04:53:34, 67, 67, 100, 19, 37, 44, 50, 23.4
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 05:53:37, 53, 53, 87, 20, 34, 42, 48, 28.86
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 06:53:39, 55, 55, 87, 20, 34, 42, 48, 28.86
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 07:53:41, 58, 58, 100, 20, 34, 42, 48, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 08:53:44, 61, 61, 100, 20, 33, 41, 46, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 09:53:46, 62, 62, 100, 20, 34, 41, 46, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 10:53:49, 62, 62, 100, 20, 34, 41, 46, 24.38
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 11:53:51, 65, 65, 100, 20, 34, 42, 48, 23.48
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 12:53:54, 67, 67, 100, 20, 36, 42, 48, 23.48
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 13:53:56, 68, 68, 95, 20, 37, 42, 47, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 14:53:58, 68, 68, 95, 20, 39, 42, 47, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 15:54:01, 68, 68, 95, 20, 39, 42, 47, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 16:54:03, 67, 67, 95, 20, 42, 40, 45, 22.37
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 17:54:06, 70, 70, 94, 20, 43, 41, 45, 20.68
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 18:54:08, 71, 71, 94, 20, 45, 40, 45, 20.68
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 19:54:11, 71, 71, 97, 20, 47, 41, 45, 20.46
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-09-30 20:54:14, 71, 71, 97, 20, 47, 41, 45, 20.46
